# '#print axioms' census — SE tier-2 (node SE.formal.t2), 2026-08-17
# extracted verbatim from lake_build_clean.txt (the axiom lines are elaborator output of SE/Trust.lean)
# every declaration must show exactly [propext, Classical.choice, Quot.sound]

info: SE/Trust.lean:183:0: 'SE.goal.composition_via_br' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:206:0: 'SE.SelfTest.emptySectorFrame_omega' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:207:0: 'SE.SelfTest.emptySectorFrame_sect' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:208:0: 'SE.SelfTest.hypotheses_consistent' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:209:0: 'SE.SelfTest.liveSectorFrame_cited' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:210:0: 'SE.SelfTest.liveSectorFrame_t6' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:211:0: 'SE.SelfTest.liveSectorFrame_gram' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:212:0: 'SE.SelfTest.liveSectorFrame_omega' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:213:0: 'SE.SelfTest.liveSectorFrame_sect' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:214:0: 'SE.SelfTest.hypotheses_consistent_live' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:215:0: 'SE.SelfTest.channelFrame_cited' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:216:0: 'SE.SelfTest.channelFrame_t6' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:217:0: 'SE.SelfTest.channelFrame_gram' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:218:0: 'SE.SelfTest.channelFrame_omega' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:219:0: 'SE.SelfTest.channelFrame_sect' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:220:0: 'SE.SelfTest.channelFrame_channels_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:221:0: 'SE.SelfTest.hypotheses_consistent_channels' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:222:0: 'SE.SelfTest.liveSectorFrame_goal' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:223:0: 'SE.SelfTest.channelFrame_goal' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:229:0: 'SE.SEFrame.Cited.rho_ge_one' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:230:0: 'SE.SEFrame.Cited.rho_le' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:231:0: 'SE.rhoConst_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:232:0: 'SE.cast_descFactorial_eq_prod' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:233:0: 'SE.rise_eq_prod' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:234:0: 'SE.one_le_rtopHook' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:235:0: 'SE.rtopHook_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:236:0: 'SE.sum_range_cast_id' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:237:0: 'SE.log_rtopHook_le' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:238:0: 'SE.exp_le_inv_one_sub' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:239:0: 'SE.le_one_add_two_mul_of_log_le' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:240:0: 'SE.hookExponent_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:241:0: 'SE.hookExponent_le_inv_K' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:242:0: 'SE.rtopHook_le_envelope' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:243:0: 'SE.rdSucc_eq_mul_rtop' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:244:0: 'SE.rdSucc_eq_mul_rtopHook' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:245:0: 'SE.IsColumnData.length_le' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:246:0: 'SE.IsColumnData.head_le' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:247:0: 'SE.IsColumnData.le_length_mul_head' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:248:0: 'SE.IsColumnData.head_add_length_le' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:249:0: 'SE.sq_alpha_mul_le' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:250:0: 'SE.sq_alpha_mul_le'' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:251:0: 'SE.alpha_le_sqrt_div' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:252:0: 'SE.alpha_mul_sqrt_le_one' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:253:0: 'SE.succ_le_three_mul_pow' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:254:0: 'SE.succ_lt_three_mul_pow' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:255:0: 'SE.specialPathFactor_le_three' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:256:0: 'SE.specialPathFactor_eq_three_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:257:0: 'SE.specialPathFactorLen_two_mul' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:258:0: 'SE.specialPathFactorLen_le_three' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:259:0: 'SE.sqrt_specialPathFactor_le' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:260:0: 'SE.branch_pair_le' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:261:0: 'SE.phi_branch_combine' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:262:0: 'SE.phi_ambient_combine' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:263:0: 'SE.phi_ambient_full' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:264:0: 'SE.SelfTest.rowShape_isColumnData' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:265:0: 'SE.SelfTest.one_le_modelRho' depends on axioms: [propext, Classical.choice, Quot.sound]
info: SE/Trust.lean:266:0: 'SE.SelfTest.modelRho_hook' depends on axioms: [propext, Classical.choice, Quot.sound]

# declarations printed: 79
# declarations with a non-standard axiom: 0
